dong,20-29,30-30,40-49,50-59,60-69,70-79,80이상
아현동,16.87,25.60,19.66,18.92,10.06,6.13,2.76
공덕동,18.45,20.21,19.40,19.06,11.84,7.80,3.24
도화동,16.84,20.99,19.43,18.57,12.02,8.06,4.09
용강동,14.67,23.02,24.69,16.87,10.56,6.83,3.36
대흥동,27.13,18.39,16.88,15.70,10.61,7.88,3.41
염리동,18.38,18.07,21.59,17.41,12.08,9.08,3.39
신수동,17.63,21.17,21.78,17.36,11.09,7.73,3.25
서강동,21.90,22.44,20.39,17.00,9.55,6.01,2.70
서교동,23.64,25.63,17.79,13.44,9.63,6.78,3.08
합정동,20.85,26.52,16.77,15.33,10.92,6.79,2.82
망원1동,18.23,22.64,19.30,16.83,12.15,7.88,2.98
망원2동,16.25,21.55,22.15,16.88,12.50,7.92,2.75
연남동,21.98,24.68,17.30,14.89,10.70,7.33,3.12
성산1동,17.88,22.12,21.97,16.45,11.38,7.60,2.62
성산2동,16.85,20.59,22.83,17.02,11.65,8.03,3.04
상암동,15.75,20.03,27.80,16.56,10.53,6.40,2.92
