"","headline.newstapa","link.newstapa","date.newstapa"
"1","문재인 정부 고위공직 지명인사 재산 분석 ","http://newstapa.org/40148","2017. 5. 30"
"2","최순실 9개 법인의 인맥 고리는 ‘고영태’와 ‘김성현’ ","http://newstapa.org/35607","2016. 10. 31"
"3","한국의 원전은 지진에서 안전할까 ","http://newstapa.org/35021","2016. 9. 13"
"4","[데이터]최악의 전세난이 부른 서울시 인구유출 ","http://newstapa.org/31120","2016. 1. 13"
"5","[데이터] 배당소득 증대세제, 재벌 세금은 얼마나 줄어들까 ","http://newstapa.org/30923","2015. 12. 24"
"6","19대 국회의원 저서 354권 분석 자료 ","http://newstapa.org/30485","2015. 12. 1"
"7","전국 단위 연동형 비례대표제 – 19대 국회의원 총선거 결과 시뮬레이션 ","http://newstapa.org/31581","2015. 9. 24"
"8","권역별 연동형 비례대표제 – 19대 국회의원 총선거 결과 시뮬레이션 ","http://newstapa.org/31579","2015. 9. 24"
"9","[인터랙티브] 메르스 환자 발생 및 경유 병원 확산 지도 ","http://newstapa.org/26220","2015. 6. 16"
"10","[인터랙티브] 메르스 확진환자 이동경로 ","http://newstapa.org/26218","2015. 6. 15"
"11","국회의원-지역정치인, ‘갑을’ 관계 여전 ","http://newstapa.org/23893","2015. 3. 5"
"12","[데이터] 분야별 공약 이행률 비교 ","http://newstapa.org/23548","2015. 2. 24"
"13","‘봉인’ 대통령기록 최소 28건 노출의혹 ","http://newstapa.org/23203","2015. 2. 5"
"14","전국 화학물질 사고 지도 ","http://newstapa.org/23073","2015. 1. 27"
"15","[데이터 분석] 원전비리 업체 89곳, 한수원에서 2조 원 수주 ","http://newstapa.org/22461","2014. 12. 5"
"16","1조 7천억 원자력 R&D 예산 누가 받았을까? ","http://newstapa.org/22431","2014. 12. 3"
"17","원자력문화재단은 교과서를 어떻게 바꿨나-데이터분석 ","http://newstapa.org/22236","2014. 11. 25"
"18","원자력 관련 정부위원회와 기관장들의 재산은 얼마일까? ","http://newstapa.org/21593","2014. 11. 5"
"19","한수원 18조 납품 시장, 누가 많이 먹었나? ","http://newstapa.org/19597","2014. 10. 2"
"20","[데이터] 전국 유해물질 지도 ","http://newstapa.org/16617","2014. 8. 29"
"21","7·30 재보궐 선거 표심 변화 ","http://newstapa.org/15282","2014. 7. 31"
"22","‘최경환 후원금’ 많이 낸 직업군은? ","http://newstapa.org/12625","2014. 6. 20"
"23","전국 242개 지방자치단체 토건예산, 복지예산, 자살률 자료 공개 ","http://newstapa.org/11935","2014. 5. 30"
"24","지방선거 광역단체장 후보자 정치자금 지출내역 공개 ","http://newstapa.org/11817","2014. 5. 27"
"25","뉴스타파 분석 ‘지자체 재정 건강 진단서’ 공개 ","http://newstapa.org/11623","2014. 5. 23"
"26","국가보훈처 나라사랑 전문 강사진 명단 100명 첫 공개 ","http://newstapa.org/11109","2014. 5. 15"
"27","선주협회 임원, 김무성·박지원 등에 고액 정치후원금 ","http://newstapa.org/10748","2014. 5. 7"
"28","“세월호 선장이나 언론사 보도국장들이나 똑같다” ","http://newstapa.org/10709","2014. 5. 2"
"29","재앙의 씨앗…선령 규제 완화 ","http://newstapa.org/10362","2014. 4. 24"
"30","관변단체 보조금은 성역?…심의위 ‘있으나 마나’ ","http://newstapa.org/9272","2014. 4. 1"
"31","‘관리사각지대’ 관변단체 보조금..혈세 줄줄 샜다 ","http://newstapa.org/9132","2014. 3. 28"
"32","관변단체 ‘가짜 영수증’ 무더기…눈 감은 지자체 ","http://newstapa.org/9150","2014. 3. 28"
"33","신청부터 정산까지 ‘원스톱’ 서비스 ","http://newstapa.org/9127","2014. 3. 28"
"34","“美 대통령 환영,100만 군중을 동원하라” ","http://newstapa.org/9036","2014. 3. 26"
"35","“김대중의 일거수일투족을 감시하라” ","http://newstapa.org/9064","2014. 3. 26"
"36","‘십알단’ 표시 국정원 계정 10개 확인…대선개입 입증 ","http://newstapa.org/8043","2014. 3. 4"
"37","박근혜 공약 201개 전수조사, 점수 32점… 낙제수준 ","http://newstapa.org/7702","2014. 2. 25"
"38","대통령 관련 공약도 안 지켜 ","http://newstapa.org/7732","2014. 2. 25"
"39","방심위 정기회의 주요 발언 발췌 ","http://newstapa.org/6872","2014. 2. 4"
"40","ICIJ, 조세피난처 중국인 3만7000명 전격 공개 ","http://newstapa.org/6489","2014. 1. 24"
"41","4대강 포상자 800명 명단 추가 입수 ","http://newstapa.org/6430","2014. 1. 24"
