Column,country,n
1,,44495
2,-,1
3,Afghanistan,21
4,Albania,6
5,Algeria,4
6,Argentina,41
7,Argentina,1
8,Argentina,1
9,Argentina,2
10,Armenia,10
11,Australia,1
12,Australia,2
13,Australia,67
14,Austria,39
15,Azerbaijan,1
16,Bahrain,1
17,Bangladesh,7
18,Belarus,4
19,Belgium,70
20,Belgium,3
21,Bhutan,6
22,Bolivia,2
23,Bosnia and Herzegovina,1
24,Bosnia and Herzegovina,7
25,Bosnia and Herzegovina,1
26,Bosnia and Herzegovina,1
27,Bosnia and Herzegovina,1
28,Brazil,24
29,Brazil,1
30,Bulgaria,16
31,Bulgaria,1
32,Burkina Faso,3
33,BUTAN,1
34,Cambodia,11
35,Cambodia,1
36,Cameroon,1
37,Canada,129
38,Canada,1
39,Canada,4
40,Chile,13
41,China,260
42,China,6
43,China,5
44,China,1
45,Colombia,31
46,Colombia,1
47,Congo,2
48,Costa Rica,1
49,Czech Republic,1
50,Croatia,14
51,Croatia,1
52,Cuba,5
53,Czech Republic,4
54,Czech Republic,35
55,Czech Republic,1
56,Denmark,53
57,Denmark,1
58,Egypt,5
59,UK,2
60,Estonia,10
61,Ethiopia,1
62,Finland,1
63,Finland,28
64,France,525
65,France,6
66,Georgia,24
67,Germany,242
68,Germany,7
69,Greece,36
70,Guatemala,1
71,Hong Kong,166
72,Hong Kong,2
73,Hong Kong,5
74,Hungary,27
75,Hungary,1
76,Iceland,27
77,Iceland,1
78,India,198
79,India,5
80,India,2
81,Indonesia,85
82,Indonesia,2
83,Singapore,1
84,Iran,198
85,Iran,12
86,Iran,3
87,Iran,1
88,Iraq,13
89,Ireland,40
90,Israel,34
91,Italy,121
92,Italy,3
93,Ivory Coast,1
94,Japan,410
95,Japan,9
96,Japan,3
97,Jordan,5
98,Kazakhstan,2
99,Kazakhstan,1
100,Kazakhstan,1
101,Kazakhstan,1
102,Kazakhstan,33
103,Kazakhstan,3
104,Kenya,2
105,Kyrgyzstan,1
106,Kyrgyzstan,1
107,South Korea,1298
108,South Korea,4
109,South Korea,1
110,North Korea,2
111,Kurd,3
112,Kurdistan,2
113,Kyrgyzstan,7
114,Kyrgyzstan,1
115,Latvia,11
116,Latvia,1
117,Lebanon,7
118,Lithuania,10
119,Luxembourg,12
120,Macedonia,7
121,Malaysia,49
122,Malaysia,2
123,Mali,2
124,Mexico,40
125,Mexico,1
126,Mongol,1
127,Mongolia,9
128,Morocco,7
129,Myanmar,7
130,Namibia,1
131,Nepal,11
132,Netherlands,1
133,Netherlands,2
134,Netherlands,48
135,Netherlands,11
136,Nicaragua,1
137,Norway,30
138,Pakistan,6
139,Palestine,11
140,Peru,9
141,Peru,1
142,Philippines,2
143,Philippines,2
144,Philippines,98
145,Poland,64
146,Poland,1
147,Portugal,41
148,Puerto Rico,1
149,South Africa,6
150,South Africa,1
151,Romania,36
152,Romania,2
153,Romania,5
154,Russia,74
155,Russia,1
156,Senegal,4
