"","city","state","change","text","year","murders"
"1","Mobile","Alabama",-7,"murders",2014,31
"2","Mobile","Alabama",-7,"murders",2015,24
"3","Anchorage","Alaska",14,"murders",2014,12
"4","Anchorage","Alaska",14,"murders",2015,26
"5","Chandler","Arizona",0,"murders",2014,1
"6","Chandler","Arizona",0,"murders",2015,1
"7","Mesa","Arizona",3,"murders",2014,13
"8","Mesa","Arizona",3,"murders",2015,16
"9","Phoenix","Arizona",-2,"murders",2014,114
"10","Phoenix","Arizona",-2,"murders",2015,112
"11","Tucson","Arizona",-4,"murders",2014,35
"12","Tucson","Arizona",-4,"murders",2015,31
"13","Anaheim","California",4,"murders",2014,14
"14","Anaheim","California",4,"murders",2015,18
"15","Bakersfield","California",5,"murders",2014,17
"16","Bakersfield","California",5,"murders",2015,22
"17","Chula Vista","California",-1,"murders",2014,7
"18","Chula Vista","California",-1,"murders",2015,6
"19","Fresno","California",-8,"murders",2014,47
"20","Fresno","California",-8,"murders",2015,39
"21","Irvine","California",2,"murders",2014,0
"22","Irvine","California",2,"murders",2015,2
"23","Long Beach","California",13,"murders",2014,23
"24","Long Beach","California",13,"murders",2015,36
"25","Los Angeles","California",22,"murders",2014,260
"26","Los Angeles","California",22,"murders",2015,282
"27","Oakland","California",5,"murders",2014,80
"28","Oakland","California",5,"murders",2015,85
"29","Riverside","California",-2,"murders",2014,12
"30","Riverside","California",-2,"murders",2015,10
"31","Sacramento","California",15,"murders",2014,28
"32","Sacramento","California",15,"murders",2015,43
"33","San Diego","California",5,"murders",2014,32
"34","San Diego","California",5,"murders",2015,37
"35","San Francisco","California",8,"murders",2014,45
"36","San Francisco","California",8,"murders",2015,53
"37","San Jose","California",-2,"murders",2014,32
"38","San Jose","California",-2,"murders",2015,30
"39","Santa Ana","California",-6,"murders",2014,18
"40","Santa Ana","California",-6,"murders",2015,12
"41","Stockton","California",0,"murders",2014,49
"42","Stockton","California",0,"murders",2015,49
"43","Aurora","Colorado",13,"murders",2014,11
"44","Aurora","Colorado",13,"murders",2015,24
"45","Colorado Springs","Colorado",5,"murders",2014,20
"46","Colorado Springs","Colorado",5,"murders",2015,25
"47","Denver","Colorado",22,"murders",2014,31
"48","Denver","Colorado",22,"murders",2015,53
"49","Washington","D.C.",57,"murders",2014,105
"50","Washington","D.C.",57,"murders",2015,162
"51","Jacksonville","Florida",1,"murders",2014,96
"52","Jacksonville","Florida",1,"murders",2015,97
"53","Miami","Florida",-6,"murders",2014,81
"54","Miami","Florida",-6,"murders",2015,75
"55","Orlando","Florida",17,"murders",2014,15
"56","Orlando","Florida",17,"murders",2015,32
"57","St. Petersburg","Florida",-5,"murders",2014,19
"58","St. Petersburg","Florida",-5,"murders",2015,14
"59","Tampa","Florida",6,"murders",2014,28
"60","Tampa","Florida",6,"murders",2015,34
"61","Atlanta","Georgia",1,"murders",2014,93
"62","Atlanta","Georgia",1,"murders",2015,94
"63","Honolulu","Hawaii",-6,"murders",2014,21
"64","Honolulu","Hawaii",-6,"murders",2015,15
"65","Chicago","Illinois",67,"murders",2014,411
"66","Chicago","Illinois",67,"murders",2015,478
