dong,20-29,30-30,40-49,50-59,60-69,70-79,80이상
서울특별시마포구,"57,448","68,190","64,231","52,087","34,121","22,585","9,491"
서울특별시마포구아현동,"3,410","5,175","3,973","3,824","2,033","1,239",557
서울특별시마포구공덕동,"6,131","6,713","6,444","6,332","3,935","2,592","1,077"
서울특별시마포구도화동,"3,158","3,935","3,644","3,482","2,253","1,512",766
서울특별시마포구용강동,"2,521","3,955","4,242","2,899","1,814","1,173",577
서울특별시마포구대흥동,"2,844","1,928","1,770","1,646","1,112",826,358
서울특별시마포구염리동,"1,615","1,588","1,897","1,530","1,062",798,298
서울특별시마포구신수동,"3,076","3,694","3,800","3,029","1,935","1,348",567
서울특별시마포구서강동,"4,584","4,697","4,269","3,559","1,999","1,258",566
서울특별시마포구서교동,"5,160","5,593","3,883","2,934","2,101","1,479",673
서울특별시마포구합정동,"3,405","4,331","2,739","2,503","1,783","1,109",460
서울특별시마포구망원제1동,"3,340","4,147","3,536","3,083","2,225","1,443",545
서울특별시마포구망원제2동,"2,657","3,524","3,622","2,761","2,044","1,295",450
서울특별시마포구연남동,"3,268","3,669","2,571","2,213","1,591","1,089",464
서울특별시마포구성산제1동,"2,999","3,709","3,684","2,758","1,908","1,274",439
서울특별시마포구성산제2동,"5,422","6,625","7,347","5,477","3,748","2,583",978
서울특별시마포구상암동,"3,858","4,907","6,810","4,057","2,578","1,567",716
